Controller,GoalReached,CollisionDetected,CollisionGuardActivations,RMSE_CrossTrack_m,MAE_CrossTrack_m,MaxCrossTrack_m,RMSE_Heading_deg,FinalPositionError_m,MinimumClearance_m,RecoveryTime_s,ControlEffort,CompletionTime_s,TravelDistance_m
PID,1,0,0,0.0392472034790885,0.026905989681925,0.10817222880321,3.30265037081685,0.119003994564461,0.760033767588441,0,16.9178711538314,61.29,30.9310903540722
LQR,1,0,0,0.0288209895027698,0.0194676666086549,0.0793594272065781,2.53326304224055,0.119504978686579,0.762469618808881,0,17.0117901442744,60.66,30.8864811850538
Fuzzy,1,0,0,0.0222227552098191,0.0154417913825062,0.0603778402783942,1.94323636586123,0.117236240734174,0.767895324783187,0,17.1916651353829,60.06,30.8777329540617
